author_id_from,author_screen_name_from,status_id,to,edge_type
195572533,Broniatowski,1356353645722394625,Cincinnati,hashtag
195572533,Broniatowski,1356284849070497792,vaccinehesitancy,hashtag
195572533,Broniatowski,1338252088808267778,COVID19,hashtag
195572533,Broniatowski,1311857755502845955,misinformation,hashtag
195572533,Broniatowski,1296140059956174849,pandemic,hashtag
195572533,Broniatowski,1296140059956174849,COVID19,hashtag
195572533,Broniatowski,1293192663550877697,COVID19,hashtag
277495248,IrenePasquetto,1315478542373867520,Automating,hashtag
277495248,IrenePasquetto,1315478542373867520,welfare,hashtag
277495248,IrenePasquetto,1313872048649891841,misinformation,hashtag
277495248,IrenePasquetto,1313163475812790272,MailInBallots,hashtag
277495248,IrenePasquetto,1312528379678093313,journalism,hashtag
277495248,IrenePasquetto,1312528379678093313,MOOC,hashtag
277495248,IrenePasquetto,1306210675149230082,PrototypeNation,hashtag
277495248,IrenePasquetto,1291381672978636805,2020Election,hashtag
277495248,IrenePasquetto,1291381672978636805,disinformation,hashtag
277495248,IrenePasquetto,1283105183904534529,cscw2020,hashtag
277495248,IrenePasquetto,1277317671533625345,Race,hashtag
277495248,IrenePasquetto,1277317671533625345,Policing,hashtag
277495248,IrenePasquetto,1277317671533625345,computing,hashtag
277495248,IrenePasquetto,1270352752569450496,BlackintheIvory,hashtag
277495248,IrenePasquetto,1270095860022607876,COVID19,hashtag
277495248,IrenePasquetto,1266193878845214726,COVID19,hashtag
277495248,IrenePasquetto,1266140155032862720,preprints,hashtag
277495248,IrenePasquetto,1266140155032862720,openscience,hashtag
277495248,IrenePasquetto,1266033510273474560,BIGifTrue,hashtag
277495248,IrenePasquetto,1262500214163886080,N3C,hashtag
277495248,IrenePasquetto,1262500214163886080,COVID19,hashtag
277495248,IrenePasquetto,1262500214163886080,EHR,hashtag
277495248,IrenePasquetto,1261296295215616000,Covid19,hashtag
277495248,IrenePasquetto,1261290068569964550,COVIDー19,hashtag
277495248,IrenePasquetto,1261014597873676288,COVID19,hashtag
277495248,IrenePasquetto,1260360321367183366,BIGifTrue,hashtag
277495248,IrenePasquetto,1258754775400808450,Digital2020,hashtag
277495248,IrenePasquetto,1256569011325861888,ComputationalSocialScience,hashtag
277495248,IrenePasquetto,1256569011325861888,Sociology,hashtag
277495248,IrenePasquetto,1255871043224420352,HKSMisinfoReview,hashtag
277495248,IrenePasquetto,1255316166052065280,Report,hashtag
277495248,IrenePasquetto,1254515656806092804,publichealth,hashtag
277495248,IrenePasquetto,1252974392142966784,CHI,hashtag
277495248,IrenePasquetto,1252366944017059840,misinformation,hashtag
277495248,IrenePasquetto,1252366944017059840,COVID19,hashtag
277495248,IrenePasquetto,1252359499299426313,COVID19,hashtag
277495248,IrenePasquetto,1251901594439991296,coronavirus,hashtag
277495248,IrenePasquetto,1251283820327862277,misinformation,hashtag
277495248,IrenePasquetto,1251247413030944768,HKSMisinformationReview,hashtag
277495248,IrenePasquetto,1249894361472565249,biodiversty,hashtag
277495248,IrenePasquetto,1249894361472565249,opendata,hashtag
277495248,IrenePasquetto,1247579199130537986,HKSMisinformationReview,hashtag
277495248,IrenePasquetto,1247550258424557574,COVID19,hashtag
277495248,IrenePasquetto,1246131115087351812,zoombombing,hashtag
770729895374708736,KolinaKoltai,1366561735881093121,AcademicTwitter,hashtag
770729895374708736,KolinaKoltai,1360772566344822785,COVID19,hashtag
770729895374708736,KolinaKoltai,1360772566344822785,Infodemic,hashtag
770729895374708736,KolinaKoltai,1359956773898055681,AcademicTwitter,hashtag
770729895374708736,KolinaKoltai,1356709208331223040,misinformation,hashtag
770729895374708736,KolinaKoltai,1355282604983943169,postdoc,hashtag
770729895374708736,KolinaKoltai,1354562614089531396,MediaWell,hashtag
770729895374708736,KolinaKoltai,1349366496632340480,COVID19,hashtag
770729895374708736,KolinaKoltai,1349366496632340480,COVID19,hashtag
770729895374708736,KolinaKoltai,1339737704129392640,misinformation,hashtag
1149023588818624512,uwcip,1368985142350385158,misinformation,hashtag
1149023588818624512,uwcip,1368985142350385158,Brazil,hashtag
1149023588818624512,uwcip,1367913956732366848,SIFT,hashtag
1149023588818624512,uwcip,1367913956732366848,Misinformation,hashtag
1149023588818624512,uwcip,1367913956732366848,Disinformation,hashtag
1149023588818624512,uwcip,1367913956732366848,ControlF,hashtag
1149023588818624512,uwcip,1367623384968753152,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1367216093530624002,Sharpiegate,hashtag
1149023588818624512,uwcip,1367204209486041089,EIPreport,hashtag
1149023588818624512,uwcip,1366808655589335042,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1364354716491079683,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1362930955460038660,disinformation,hashtag
1149023588818624512,uwcip,1362438094322995207,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1361718877802045440,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1361352476201426944,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1361352220642471936,MediaWell,hashtag
1149023588818624512,uwcip,1360346579534635010,COVIDCalls,hashtag
1149023588818624512,uwcip,1360317477985521664,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1359975744642846722,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1359922420778373122,MisinfoDay2021,hashtag
1149023588818624512,uwcip,1359660002214989825,Misinformation,hashtag
1149023588818624512,uwcip,1357759595309977600,MediaWell,hashtag
1149023588818624512,uwcip,1356706261283217411,misinformation,hashtag
1149023588818624512,uwcip,1356300944779067394,MediaWell,hashtag
1149023588818624512,uwcip,1354556823890579458,MediaWell,hashtag
1149023588818624512,uwcip,1352295352703991810,tech,hashtag
1149023588818624512,uwcip,1352295352703991810,democracy,hashtag
1149023588818624512,uwcip,1346537537565724673,Misinformation,hashtag
1149023588818624512,uwcip,1346537537565724673,Disinformation,hashtag
1149023588818624512,uwcip,1346131410340384768,Deepfakes,hashtag
1149023588818624512,uwcip,1346131410340384768,disinformation,hashtag
1149023588818624512,uwcip,1344336865357230080,BHS,hashtag
1149023588818624512,uwcip,1344336865357230080,FactvsFiction,hashtag
1149023588818624512,uwcip,1341064474455810049,COVID19vaccine,hashtag
1149023588818624512,uwcip,1339735954110566402,misinformation,hashtag
1149023588818624512,uwcip,1339725123608215552,misinformation,hashtag
1149023588818624512,uwcip,1339716716268437509,WSU,hashtag
1221415440,sarahshirazyan,1351695811982155776,misinformation,hashtag
1221415440,sarahshirazyan,1351695811982155776,news,hashtag
1221415440,sarahshirazyan,1322680962342289408,genocide,hashtag
1221415440,sarahshirazyan,1322680962342289408,Armenians,hashtag
1221415440,sarahshirazyan,1322680962342289408,StopAzeriWarCrimes,hashtag
1221415440,sarahshirazyan,1319573269838639105,Azerbaijani,hashtag
1221415440,sarahshirazyan,1319573269838639105,NagornoKarabakh,hashtag
1221415440,sarahshirazyan,1316945014791032834,ECHR,hashtag
1221415440,sarahshirazyan,1316945014791032834,Turkey,hashtag
1221415440,sarahshirazyan,1316448234814861312,NagornoKarabakh,hashtag
1221415440,sarahshirazyan,1316448234814861312,Azerbaijan,hashtag
1221415440,sarahshirazyan,1316448234814861312,UNSC,hashtag
1221415440,sarahshirazyan,1314243125687193601,Shushi,hashtag
1221415440,sarahshirazyan,1314243125687193601,Stepanakert,hashtag
1221415440,sarahshirazyan,1314031310705287168,WarInKarabakh,hashtag
1221415440,sarahshirazyan,1311021507867336704,NagornoKarabakh,hashtag
1221415440,sarahshirazyan,1311021507867336704,warinkarabakh,hashtag
1221415440,sarahshirazyan,1161054654647554050,INTERPOL,hashtag
1221415440,sarahshirazyan,1132133100467527681,INTERPOL,hashtag
1221415440,sarahshirazyan,1128926941820719104,SIF19,hashtag
1221415440,sarahshirazyan,1110808577986519041,lawenforcement,hashtag
1221415440,sarahshirazyan,1110808577986519041,publicprivatepartne,hashtag
1221415440,sarahshirazyan,1100183328978657281,Resolution1540,hashtag
1221415440,sarahshirazyan,1100183328978657281,InternationalLaw,hashtag
1221415440,sarahshirazyan,981589913299689472,ISA2018,hashtag
1221415440,sarahshirazyan,794241689263243264,UNSCR1540,hashtag
1221415440,sarahshirazyan,772920676009123840,dataproteciton,hashtag
1221415440,sarahshirazyan,747566496440672256,nonproliferation,hashtag
1221415440,sarahshirazyan,745361759276433408,Hiroshima,hashtag
1221415440,sarahshirazyan,726675619883290628,ECHR,hashtag
1221415440,sarahshirazyan,720629666415910913,Kardashians,hashtag
1221415440,sarahshirazyan,688496333317996544,ImplementationDay,hashtag
1221415440,sarahshirazyan,688496333317996544,DissertationDay,hashtag
1221415440,sarahshirazyan,676450498640084992,dataprivacy,hashtag
1221415440,sarahshirazyan,676450498640084992,DigitalAgenda,hashtag
1221415440,sarahshirazyan,671571809569927173,ParisAttacks,hashtag
1221415440,sarahshirazyan,671571455516151808,ParisAttacks,hashtag
1221415440,sarahshirazyan,666054938007461888,PJ,hashtag
1221415440,sarahshirazyan,666054938007461888,ParisAttacks,hashtag
1221415440,sarahshirazyan,639490667601793024,European,hashtag
1221415440,sarahshirazyan,629449312993316864,Hiroshima,hashtag
1221415440,sarahshirazyan,629449312993316864,Nagasaki,hashtag
1221415440,sarahshirazyan,629449312993316864,nuclear,hashtag
1221415440,sarahshirazyan,583729247455318016,Irantalks,hashtag
1221415440,sarahshirazyan,583727473038241792,nuclear,hashtag
1221415440,sarahshirazyan,552918927005605888,JeSuisCharlie,hashtag
1221415440,sarahshirazyan,552913751238639616,CharlieHebdo,hashtag
1221415440,sarahshirazyan,545486800438165504,osce,hashtag
1221415440,sarahshirazyan,545486800438165504,ECHR,hashtag
1221415440,sarahshirazyan,545340256447238144,training,hashtag
1221415440,sarahshirazyan,545340256447238144,OSCE,hashtag
1221415440,sarahshirazyan,543713822721462272,privacy,hashtag
1221415440,sarahshirazyan,543713822721462272,human,hashtag
1221415440,sarahshirazyan,543713822721462272,eCHR,hashtag
1221415440,sarahshirazyan,543713822721462272,democracy,hashtag
1221415440,sarahshirazyan,507403386099347457,Khoroshenko,hashtag
1221415440,sarahshirazyan,507403386099347457,echr,hashtag
1221415440,sarahshirazyan,507403386099347457,GC,hashtag
1221415440,sarahshirazyan,463522044194619392,emerging,hashtag
1221415440,sarahshirazyan,463522044194619392,technologies,hashtag
1221415440,sarahshirazyan,461218185208168448,UNSG,hashtag
1221415440,sarahshirazyan,461218185208168448,UNSC,hashtag
1221415440,sarahshirazyan,460785150302117889,NPT2014,hashtag
1221415440,sarahshirazyan,460785150302117889,nptprepcom,hashtag
1221415440,sarahshirazyan,459020248088608768,disarmament,hashtag
1221415440,sarahshirazyan,459020248088608768,nukes,hashtag
1221415440,sarahshirazyan,459020248088608768,securitysummit,hashtag
1221415440,sarahshirazyan,432042968157913088,fun,hashtag
1221415440,sarahshirazyan,432042968157913088,ModelUN,hashtag
